attendance,away_final_score,away_team,date,g_id,home_final_score,home_team,umpire_1B,umpire_2B,umpire_3B,umpire_HP,venue_name,weather,wind
34781.0,3.0,tba,2017-09-08,201702114,9.0,bos,Quinn Wolcott,Brian O'Nora,Paul Emmel,Scott Barry,Fenway Park,"70 degrees, cloudy","9 mph, L to R"
26248.0,1.0,ana,2017-09-09,201702115,8.0,sea,Ryan Additon,Todd Tichenor,Bill Miller,David Rackley,Safeco Field,"67 degrees, cloudy","1 mph, In from LF"
30459.0,2.0,bal,2017-09-09,201702116,4.0,cle,Carlos Torres,Chris Guccione,Dana DeMuth,Paul Nauert,Progressive Field,"64 degrees, partly cloudy","13 mph, In from CF"
30661.0,1.0,cin,2017-09-09,201702117,6.0,nyn,Shane Livensparger,Jerry Layne,Dan Bellino,Marvin Hudson,Citi Field,"65 degrees, partly cloudy","14 mph, In from LF"
52884.0,6.0,col,2017-09-09,201702118,5.0,lan,Mark Wegner,Lance Barrett,Jim Reynolds,Ben May,Dodger Stadium,"78 degrees, clear","7 mph, L to R"
44218.0,4.0,det,2017-09-09,201702119,5.0,tor,Roberto Ortiz,Kerwin Danley,Alfonso Marquez,Chad Fairchild,Rogers Centre,"62 degrees, partly cloudy","8 mph, Out to CF"
1.0,1.0,hou,2017-09-09,201702120,11.0,oak,Nick Mahrley,Ramon De Jesus,Sam Holbrook,D.J. Reyburn,Oakland Coliseum,"73 degrees, sunny","5 mph, Out to RF"
19244.0,4.0,hou,2017-09-09,201702121,11.0,oak,Ramon De Jesus,Sam Holbrook,Nick Mahrley,Greg Gibson,Oakland Coliseum,"73 degrees, sunny","11 mph, Out to RF"
34043.0,5.0,mia,2017-09-09,201702122,6.0,atl,Mike Winters,Marty Foster,Mike Muchlinski,Chad Whitson,SunTrust Park,"72 degrees, clear","10 mph, L to R"
41167.0,15.0,mil,2017-09-09,201702123,2.0,chn,Chris Conroy,Ryan Blakney,Jerry Meals,Ron Kulpa,Wrigley Field,"70 degrees, sunny","15 mph, In from RF"
29991.0,2.0,min,2017-09-09,201702124,5.0,kca,Alan Porter,Chris Segal,Joe West,Andy Fletcher,Kauffman Stadium,"83 degrees, clear","8 mph, R to L"
38135.0,3.0,nya,2017-09-09,201702125,1.0,tex,Manny Gonzalez,Mark Carlson,CB Bucknor,Tim Timmons,Globe Life Park in Arlington,"80 degrees, sunny","9 mph, In from CF"
35694.0,5.0,phi,2017-09-09,201702126,4.0,was,Sean Barber,Tripp Gibson III,Jeff Kellogg,Will Little,Nationals Park,"69 degrees, clear","6 mph, In from LF"
44378.0,3.0,pit,2017-09-09,201702127,4.0,sln,Cory Blaser,Laz Diaz,Doug Eddings,Jeff Nelson,Busch Stadium,"82 degrees, clear","7 mph, L to R"
34156.0,8.0,sdn,2017-09-09,201702128,7.0,ari,Tom Woodring,Mike Everitt,Bill Welke,Jordan Baker,Chase Field,"78 degrees, roof closed","0 mph, None"
17688.0,1.0,sfn,2017-09-09,201702129,13.0,cha,Eric Cooper,Adrian Johnson,Gabe Morales,Stu Scheurwater,Guaranteed Rate Field,"66 degrees, clear","10 mph, L to R"
36734.0,0.0,tba,2017-09-09,201702130,9.0,bos,Brian O'Nora,Paul Emmel,Scott Barry,Quinn Wolcott,Fenway Park,"63 degrees, partly cloudy","5 mph, R to L"
20094.0,5.0,ana,2017-09-10,201702131,3.0,sea,Todd Tichenor,Bill Miller,David Rackley,Ryan Additon,Safeco Field,"64 degrees, partly cloudy","1 mph, L to R"
21259.0,2.0,bal,2017-09-10,201702132,3.0,cle,Chris Guccione,Dana DeMuth,Paul Nauert,Carlos Torres,Progressive Field,"64 degrees, clear","10 mph, In from RF"
27590.0,10.0,cin,2017-09-10,201702133,5.0,nyn,Jerry Layne,Dan Bellino,Marvin Hudson,Shane Livensparger,Citi Field,"71 degrees, partly cloudy","11 mph, In from LF"
50161.0,8.0,col,2017-09-10,201702134,1.0,lan,Lance Barrett,Jim Reynolds,Ben May,Mark Wegner,Dodger Stadium,"93 degrees, partly cloudy","5 mph, L to R"
39797.0,2.0,det,2017-09-10,201702135,8.0,tor,Kerwin Danley,Alfonso Marquez,Chad Fairchild,Roberto Ortiz,Rogers Centre,"63 degrees, sunny","7 mph, R to L"
15892.0,2.0,hou,2017-09-10,201702136,10.0,oak,Sam Holbrook,D.J. Reyburn,Greg Gibson,Ramon De Jesus,Oakland Coliseum,"84 degrees, partly cloudy","7 mph, Out to RF"
34974.0,8.0,mia,2017-09-10,201702137,10.0,atl,Marty Foster,Mike Muchlinski,Chad Whitson,Mike Winters,SunTrust Park,"67 degrees, cloudy","19 mph, L to R"
40113.0,3.0,mil,2017-09-10,201702138,1.0,chn,Ryan Blakney,Jerry Meals,Ron Kulpa,Chris Conroy,Wrigley Field,"68 degrees, sunny","10 mph, In from RF"
35003.0,3.0,min,2017-09-10,201702139,11.0,kca,Chris Segal,Joe West,Andy Fletcher,Alan Porter,Kauffman Stadium,"82 degrees, sunny","6 mph, R to L"
31349.0,16.0,nya,2017-09-10,201702140,7.0,tex,Mark Carlson,CB Bucknor,Tim Timmons,Manny Gonzalez,Globe Life Park in Arlington,"84 degrees, partly cloudy","8 mph, L to R"
32627.0,2.0,phi,2017-09-10,201702141,3.0,was,Tripp Gibson III,Jeff Kellogg,Will Little,Sean Barber,Nationals Park,"69 degrees, partly cloudy","5 mph, In from CF"
44683.0,0.0,pit,2017-09-10,201702142,7.0,sln,Laz Diaz,Doug Eddings,Jeff Nelson,Cory Blaser,Busch Stadium,"78 degrees, sunny","10 mph, In from RF"
23854.0,2.0,sdn,2017-09-10,201702143,3.0,ari,Mike Everitt,Bill Welke,Jordan Baker,Tom Woodring,Chase Field,"76 degrees, roof closed","0 mph, None"
16458.0,1.0,sfn,2017-09-10,201702144,8.0,cha,Adrian Johnson,Gabe Morales,Stu Scheurwater,Eric Cooper,Guaranteed Rate Field,"66 degrees, sunny","11 mph, In from RF"
35859.0,4.0,tba,2017-09-10,201702145,1.0,bos,Paul Emmel,Scott Barry,Quinn Wolcott,Brian O'Nora,Fenway Park,"67 degrees, sunny","13 mph, In from RF"
28401.0,3.0,bal,2017-09-11,201702146,4.0,tor,Brian Gorman,Dan Iassogna,Tripp Gibson III,Chris Segal,Rogers Centre,"65 degrees, clear","5 mph, R to L"
23135.0,11.0,cha,2017-09-11,201702147,3.0,kca,Jerry Meals,Ron Kulpa,Chris Conroy,Ryan Blakney,Kauffman Stadium,"77 degrees, clear","7 mph, R to L"
24178.0,5.0,col,2017-09-11,201702148,4.0,ari,Mark Ripperger,Rob Drake,Phil Cuzzi,Tom Hallion,Chase Field,"78 degrees, roof closed","0 mph, None"
18521.0,0.0,det,2017-09-11,201702149,11.0,cle,Scott Barry,Quinn Wolcott,Brian O'Nora,Paul Emmel,Progressive Field,"66 degrees, cloudy","10 mph, In from RF"
40409.0,6.0,lan,2017-09-11,201702150,8.0,sfn,D.J. Reyburn,Greg Gibson,Ramon De Jesus,Sam Holbrook,AT&T Park,"71 degrees, cloudy","11 mph, Out to CF"
15327.0,5.0,nya,2017-09-11,201702151,1.0,tba,Ted Barrett,Angel Hernandez,John Tumpane,Lance Barksdale,Citi Field,"74 degrees, partly cloudy","8 mph, In from LF"
27422.0,7.0,pit,2017-09-11,201702152,0.0,mil,Bruce Dreckman,Bill Welke,Jordan Baker,Chris Guccione,Miller Park,"69 degrees, clear","10 mph, In from CF"
20686.0,3.0,sea,2017-09-11,201702153,5.0,tex,Jeff Nelson,Stu Scheurwater,Cory Blaser,Laz Diaz,Globe Life Park in Arlington,"82 degrees, clear","10 mph, Out to RF"
22769.0,8.0,atl,2017-09-12,201702154,0.0,was,Dan Bellino,Mike Estabrook,Shane Livensparger,Jerry Layne,Nationals Park,"75 degrees, partly cloudy","2 mph, R to L"
29055.0,2.0,bal,2017-09-12,201702155,3.0,tor,Dan Iassogna,Tripp Gibson III,Chris Segal,Brian Gorman,Rogers Centre,"69 degrees, clear","3 mph, R to L"
17727.0,3.0,cha,2017-09-12,201702156,4.0,kca,Ron Kulpa,Chris Conroy,Ryan Blakney,Jerry Meals,Kauffman Stadium,"74 degrees, sunny","11 mph, L to R"
